qty,unit_price,product_score,customers,comp_1,lag_price,comp_price_diff,rolling_avg_price,Predicted_Price,Final_Price,Old_Price,Price_Change,Demand_Change,Price_Elasticity,Estimated_Sales,Old_Revenue,New_Revenue
20.0,0.7264008837115886,3.8,54.0,148.7785714,179.9,-147.96854755610693,0.6523463001524391,0.68899065,133.90071426,0.5,2.0,-0.11015986225363408,0.05507993112681704,335,167.5,44856.7392771
11.0,0.4021389837316729,4.2,42.0,99.99,99.99,-99.72259432946169,0.3829408458515835,0.2664752,89.991,,,0.015116357189896623,,157,,14128.587
18.0,0.05021088572002402,4.5,113.0,23.989999999999995,29.900000000000006,-23.86166884967453,0.11105691419252221,0.12217587,21.590999999999998,0.5,2.0,-0.05715240872843755,0.028576204364218774,254,127.0,5484.114
17.0,0.07581843743723635,3.7,92.0,69.9,35.48571428999999,-69.75760516196763,0.12237224039332091,0.15805878,62.910000000000004,,,-0.17867988709613591,,334,,21011.940000000002
7.0,0.2716408917453303,3.9,15.0,74.0,77.93333333,-73.87667037241536,0.25397996584768784,0.11158619,66.60000000000001,,,-0.1237033704621025,,349,,23243.4
28.0,0.020536252259489796,4.3,139.0,23.989999999999995,23.989999999999995,-23.82860927955788,0.15149084168364788,0.16087338,21.590999999999998,,,-0.13517855742424714,,260,,5613.659999999999
21.0,0.1953179544587266,3.9,53.0,19.990000000000002,64.99,-19.689193071157803,0.23108025463197937,0.28564104,17.991000000000003,,,-0.15394387995305278,,161,,2896.5510000000004
7.0,0.1862321751355694,4.3,8.0,56.99,56.99,-56.896152120571365,0.07973714769595694,0.08441394,51.291000000000004,,,0.037499420469438105,,423,,21696.093
7.0,0.1405904800160675,4.2,34.0,85.045,47.9,-84.966906917205,0.1149855030120555,0.07378611,76.54050000000001,,,0.1253764548469693,,98,,7500.969000000001
1.0000000000000018,0.3263707571801567,3.3,15.0,74.0,84.9,-73.98390599118048,0.1632427694570375,0.022001581,66.60000000000001,0.5,2.0,0.06921160824697936,0.03460580412348968,146,73.0,9723.6
2.0,0.2008435428800963,4.3,34.0,59.9,59.9,-59.87526474644508,0.05523959027129535,0.025245978,53.91,,,0.11365576719881515,,365,,19677.149999999998
25.0,0.1506326571600723,4.0,137.0,49.9,55.77096774,-49.59604607343325,0.3762284061731665,0.3339652,44.91,0.5,2.0,-0.16958181828611904,0.08479090914305952,195,97.5,8757.449999999999
13.0,0.2008435428800963,4.1,74.0,59.9,59.85,-59.712121017042314,0.17320867491835382,0.19490707,53.91,,,-0.08031895166122371,,51,,2749.41
12.0,0.4925687889134364,4.4,34.0,56.99,118.05,-56.64432545057035,0.2134065569467932,0.3368873,51.291000000000004,,,0.047900289879451774,,55,,2821.005
46.0,0.1707170114480819,4.1,111.0,53.9,53.9,-53.29102746628305,0.5002100474484393,0.61659217,48.51,,,0.15143748979139454,,335,,16250.849999999999
9.0,0.4021389837316729,4.3,33.0,99.99,99.99,-99.77210940459595,0.1848805453145388,0.21120861,89.991,,,0.1942982922630505,,339,,30506.949
25.0,0.1962743522795741,3.9,89.0,23.989999999999995,58.99000000000001,-23.62977894259886,0.2972588188978326,0.34125465,21.590999999999998,,,0.14202077592399265,,448,,9672.767999999998
4.0,0.3966659971881904,4.0,15.0,151.99,109.9,-151.89697662902321,0.13656798150592042,0.08993157,136.79100000000003,,,0.07688486518042553,,241,,32966.63100000001
3.0,0.3620204860413737,3.3,43.0,86.9,92.0,-86.8365896052511,0.20586300614626055,0.06720574,78.21000000000001,0.5,2.0,0.09932819436355167,0.049664097181775835,481,240.5,37619.01
6.0,0.7536151837718417,3.8,18.0,89.86333333,173.8081818,-89.6157232903097,0.35390725394117517,0.23309593,80.876999997,,,-0.003538727797542357,,235,,19006.094999295
2.0,0.1405904800160675,4.2,57.0,83.64961538,47.9,-83.63082252970152,0.0622796874626019,0.019707218,75.284653842,,,0.17109336778698536,,467,,35157.933344214
18.0,0.1008736694115284,4.0,62.0,86.9,39.99,-86.72669971303145,0.13699467907308407,0.18143201,78.21000000000001,,,-0.1961898920876499,,318,,24870.780000000002
6.0,0.4920666800562361,4.4,15.0,56.99,118.0,-56.81977490671665,0.24826865605122347,0.16184975,51.291000000000004,0.5,2.0,-0.06352203390610636,0.03176101695305318,224,112.0,11489.184000000001
44.0,0.2766619803173328,4.1,64.0,75.0,75.0,-74.18784679494004,0.37885296761142623,0.6831778,67.5,,,-0.023130352321730385,,108,,7290.0
4.0,0.1506326571600723,4.3,102.0,53.41515152000001,53.9,-53.37065777561743,0.032468631126143094,0.043929785,48.07363636800001,,,0.09006502333902827,,154,,7403.340000672001
3.0,0.4021389837316729,4.2,10.0,99.99,99.99,-99.92065462999874,0.22614310792642303,0.06851564,89.991,,,0.19899350997607473,,97,,8729.127
31.0,0.1707170114480819,4.1,116.0,53.9,50.54516129,-53.49121217598427,0.3449977757254477,0.4290076,48.51,,,0.09759017075457577,,142,,6888.42
1.0000000000000018,0.2008435428800963,4.2,16.999999999999993,59.9,59.85,-59.890095994572604,0.008979631587504727,0.01180864,53.91,,,-0.08862510988826072,,394,,21240.539999999997
14.0,0.4021389837316729,4.2,42.0,99.99,99.99,-99.6483217167603,0.4324559209858447,0.3490979,89.991,,,0.06470816899181508,,286,,25737.426
14.0,0.4021389837316729,4.3,42.0,99.99,99.99,-99.6483217167603,0.3499307957620761,0.35669288,89.991,,,-0.12068358808361786,,266,,23937.606
13.0,0.4423579031934123,4.2,91.0,133.0,107.95,-132.65729665219857,0.11961562554936273,0.32878655,119.7,0.5,2.0,-0.14130570202332746,0.07065285101166373,497,248.5,59490.9
1.0000000000000018,0.7386021289415545,3.5,31.0,154.6958824,166.95,-154.65946042004074,0.04592157183168796,0.04549741,139.22629415999998,,,-0.17520037315844394,,413,,57500.45948807999
6.0,0.327098815023097,3.9,34.0,85.045,86.9,-84.9235843214642,0.31690093766171373,0.13219517,76.54050000000001,,,0.010250154033118075,,99,,7577.509500000001
33.0,0.5176240208877284,4.1,113.0,23.989999999999995,122.99,-22.989999999999995,0.5761424063927053,0.78338397,21.590999999999998,0.5,2.0,-0.18257365718683474,0.09128682859341737,77,38.5,1662.5069999999998
11.0,0.7988551918055833,4.2,111.0,53.9,175.15384620000003,-53.41740257553661,0.2021465281096307,0.48865983,48.51,,,-0.046512694342604105,,133,,6451.83
6.0,0.1962743522795741,3.9,98.0,23.989999999999995,58.99000000000001,-23.907291650675823,0.18494987335253046,0.07874591,21.590999999999998,,,0.1414883679479852,,213,,4598.883
1.0000000000000018,0.09289013858204448,3.8,14.000000000000007,75.0,38.35,-74.99541939748983,0.10547765780175636,0.0047730687,67.5,,,0.10816647980163901,,354,,23895.0
6.0,0.3519280980116488,4.1,41.0,19.990000000000002,89.94,-19.86123802543844,0.11215873479631999,0.13068101,17.991000000000003,,,-0.09651347168732789,,314,,5649.174000000001
19.0,0.2008435428800963,4.0,146.0,59.9,59.9,-59.62313352827717,0.30652896797787443,0.2588016,53.91,,,0.038861668209639266,,121,,6523.11
